step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-68.03470611572266,-68.125732421875,0.09082553535699844,0.03549448028206825,553.310546875,0.019839320331811905,0.05050097778439522,0.0,59331,1
2,-2995.268310546875,-2996.86669921875,0.09305721521377563,0.03772570192813873,553.315185546875,150.5487060546875,0.09675940126180649,0.0,59331,1
3,-5735.59912109375,-5741.150390625,0.09243703633546829,0.0371042862534523,553.3275146484375,545.8800659179688,0.14473213255405426,0.0,59331,1
4,-8575.302734375,-8587.32421875,0.09335557371377945,0.03802074119448662,553.3483276367188,1192.8046875,0.19356270134449005,0.0,59331,1
5,-11463.73828125,-11484.443359375,0.09237292408943176,0.03703512251377106,553.3779907226562,2061.197509765625,0.24289649724960327,0.0,59331,1
6,-14380.33984375,-14411.443359375,0.09382670372724533,0.038485050201416016,553.4165649414062,3100.94580078125,0.29255542159080505,0.0,59331,1
7,-17315.18359375,-17357.7421875,0.09465663135051727,0.03931021690368652,553.4641723632812,4246.44921875,0.34243810176849365,0.0,59331,1
8,-20263.0234375,-20317.322265625,0.09453362971544266,0.03918154537677765,553.5208740234375,5420.42919921875,0.3924819231033325,0.0,59331,1
9,-23220.98828125,-23286.466796875,0.09826371818780899,0.0429050512611866,553.586669921875,6538.02001953125,0.44264596700668335,0.0,59331,1
10,-26187.5390625,-26262.74609375,0.09304685890674591,0.037680692970752716,553.6616821289062,7511.4111328125,0.4929024875164032,0.3551263213157654,59331,1
11,-29161.873046875,-29244.515625,0.09229737520217896,0.036922793835401535,553.745849609375,8255.130859375,0.5432323813438416,1.0,59331,1
12,-32143.626953125,-32230.640625,0.09335577487945557,0.0379718542098999,553.8391723632812,8692.0068359375,0.5936221480369568,1.0,59331,1
13,-35132.625,-35220.31640625,0.09282128512859344,0.03742712363600731,553.941650390625,8759.8203125,0.6440621614456177,1.0,59331,1
14,-38128.6953125,-38212.9765625,0.092526376247406,0.03712105378508568,554.0532836914062,8418.6943359375,0.6945454478263855,1.0,59331,1
15,-41131.515625,-41208.19921875,0.09109637141227722,0.035678964108228683,554.1741333007812,7659.2177734375,0.7450664043426514,1.0,59331,1
16,-44140.45703125,-44205.6640625,0.09321657568216324,0.03778615593910217,554.30419921875,6511.3251953125,0.7956203818321228,1.0,59331,1
17,-47154.453125,-47205.0859375,0.0934462696313858,0.03800191730260849,554.4434814453125,5053.9580078125,0.846202552318573,1.0,59331,1
18,-50171.828125,-50206.17578125,0.09440945833921432,0.03895025700330734,554.592041015625,3425.482666015625,0.8968073725700378,1.0,59331,1
19,-53190.17578125,-53208.6171875,0.09405544400215149,0.03858046606183052,554.7498168945312,1834.827880859375,0.9474277496337891,1.0,59331,1
20,-56206.14453125,-56211.9765625,0.09617975354194641,0.040688082575798035,554.916748046875,573.2586669921875,0.9948239326477051,1.0,59331,1
21,-59023.734375,-59024.046875,0.09396262466907501,0.038454506546258926,555.0812377929688,21.725297927856445,1.0,1.0,59331,1
22,-59331.0546875,-59331.1484375,0.09373125433921814,0.038221292197704315,555.099609375,0.0,1.0,1.0,59331,1
23,-59331.0546875,-59331.1484375,0.09270288050174713,0.037192922085523605,555.099609375,0.0,1.0,1.0,59331,1
24,-59331.0546875,-59331.1484375,0.09250639379024506,0.03699643909931183,555.099609375,0.0,1.0,1.0,59331,1
25,-59331.0546875,-59331.1484375,0.09397763758897781,0.03846767917275429,555.099609375,0.0,1.0,1.0,59331,1
26,-59331.05078125,-59331.1484375,0.09638524055480957,0.040875282138586044,555.099609375,0.0,1.0,1.0,59331,1
27,-59331.0546875,-59331.1484375,0.09206437319517136,0.03655441477894783,555.099609375,0.0,1.0,1.0,59331,1
28,-59331.0546875,-59331.1484375,0.09382741153240204,0.03831745311617851,555.099609375,0.0,1.0,1.0,59331,1
29,-59331.05859375,-59331.1484375,0.09038257598876953,0.034872621297836304,555.099609375,0.0,1.0,1.0,59331,1
30,-59331.0546875,-59331.1484375,0.09338153898715973,0.0378715842962265,555.099609375,0.0,1.0,1.0,59331,1
